subject,relation,object,confidence,year,party
Maria Noichl,Mentions_Topic,Gender Mainstreaming,0.9,2020,S&D
Maria Noichl,Mentions_Topic,Feminism,0.8,2020,S&D
Maria Noichl,Mentions_Topic,Democracy,0.7,2020,S&D
Maria Noichl,Mentions_Topic,Equality,0.6,2020,S&D
Maria Noichl,Mentions_Topic,Nationalism,0.5,2020,S&D
Maria Noichl,Mentions_Entity,Dalli,1.0,2020,S&D
Maria Noichl,Mentions_Entity,Europe,1.0,2020,S&D
Maria Noichl,Member_Of,S&D,1.0,2020,S&D
Urmas Paet,Mentions_Topic,economic recovery,0.9,2020,ALDE
Urmas Paet,Mentions_Topic,investment,0.7,2020,ALDE
Urmas Paet,Mentions_Topic,European Union,0.8,2020,ALDE
Urmas Paet,Mentions_Entity,Urmas Paet,1.0,2020,ALDE
Urmas Paet,Member_Of,ALDE,1.0,2020,ALDE
Rovana Plumb,Mentions_Topic,European budget,0.9,2020,S&D
Rovana Plumb,Mentions_Topic,climate change,0.8,2020,S&D
Rovana Plumb,Mentions_Topic,European Union,0.7,2020,S&D
Rovana Plumb,Mentions_Topic,health,0.6,2020,S&D
Rovana Plumb,Mentions_Topic,education,0.5,2020,S&D
Rovana Plumb,Mentions_Entity,Rovana Plumb,1.0,2020,S&D
Rovana Plumb,Member_Of,S&D,1.0,2020,S&D
Jiří Pospíšil,Mentions_Topic,violence against Christians,0.9,2020,PPE
Jiří Pospíšil,Mentions_Topic,Nigerian government,0.7,2020,PPE
Jiří Pospíšil,Mentions_Entity,Jiří Pospíšil,1.0,2020,PPE
Jiří Pospíšil,Mentions_Entity,Nigerian government,1.0,2020,PPE
Jiří Pospíšil,Mentions_Entity,islamist terrorism,1.0,2020,PPE
Jiří Pospíšil,Member_Of,PPE,1.0,2020,PPE
Costas Mavrides,Mentions_Topic,Refugees and asylum seekers,0.9,2020,S&D
Costas Mavrides,Mentions_Topic,European Union,0.7,2020,S&D
Costas Mavrides,Mentions_Entity,Recep Tayyip Erdoğan,1.0,2020,S&D
Costas Mavrides,Mentions_Entity,Turkey,1.0,2020,S&D
Costas Mavrides,Mentions_Entity,European Union,1.0,2020,S&D
Costas Mavrides,Member_Of,S&D,1.0,2020,S&D
Adriana Maldonado López,Mentions_Topic,climate neutrality,0.9,2020,S&D
Adriana Maldonado López,Mentions_Topic,just transition,0.7,2020,S&D
Adriana Maldonado López,Mentions_Entity,Adriana Maldonado López,1.0,2020,S&D
Adriana Maldonado López,Member_Of,S&D,1.0,2020,S&D
Bernhard Zimniok,Mentions_Topic,justice,0.8,2020,ID
Bernhard Zimniok,Mentions_Topic,democracy,0.7,2020,ID
Bernhard Zimniok,Mentions_Topic,racism,0.6,2020,ID
Bernhard Zimniok,Mentions_Topic,terrorism,0.5,2020,ID
Bernhard Zimniok,Mentions_Topic,cultural identity,0.4,2020,ID
Bernhard Zimniok,Mentions_Entity,George Floyds,1.0,2020,ID
Bernhard Zimniok,Member_Of,ID,1.0,2020,ID
Maxette Pirbakas,Mentions_Topic,European Union budget,0.9,2020,ID
Maxette Pirbakas,Mentions_Topic,agriculture,0.8,2020,ID
Maxette Pirbakas,Mentions_Entity,Parlement européen,1.0,2020,ID
Maxette Pirbakas,Mentions_Entity,POSEI,1.0,2020,ID
Maxette Pirbakas,Mentions_Entity,Guadeloupe,1.0,2020,ID
Maxette Pirbakas,Mentions_Entity,Martinique,1.0,2020,ID
Maxette Pirbakas,Mentions_Entity,Réunion,1.0,2020,ID
Maxette Pirbakas,Mentions_Entity,Guyane,1.0,2020,ID
Maxette Pirbakas,Mentions_Entity,Mayotte,1.0,2020,ID
Maxette Pirbakas,Member_Of,ID,1.0,2020,ID
Jonás Fernández,Mentions_Topic,economic crisis,0.9,2020,S&D
Jonás Fernández,Mentions_Topic,health crisis,0.8,2020,S&D
Jonás Fernández,Mentions_Topic,fiscal policy,0.7,2020,S&D
Jonás Fernández,Mentions_Topic,monetary policy,0.6,2020,S&D
Jonás Fernández,Mentions_Topic,European Union,0.5,2020,S&D
Jonás Fernández,Mentions_Entity,Jonás Fernández,1.0,2020,S&D
Jonás Fernández,Member_Of,S&D,1.0,2020,S&D
Michaela Šojdrová,Mentions_Topic,Taiwan,0.9,2020,PPE
Michaela Šojdrová,Mentions_Topic,democracy,0.8,2020,PPE
Michaela Šojdrová,Mentions_Topic,China,0.7,2020,PPE
Michaela Šojdrová,Mentions_Topic,elections,0.6,2020,PPE
Michaela Šojdrová,Mentions_Topic,security,0.5,2020,PPE
Michaela Šojdrová,Mentions_Entity,Cchaj Jing-wen,1.0,2020,PPE
Michaela Šojdrová,Mentions_Entity,Tchaj-wan,1.0,2020,PPE
Michaela Šojdrová,Mentions_Entity,Čína,1.0,2020,PPE
Michaela Šojdrová,Member_Of,PPE,1.0,2020,PPE
Klaus Buchner,Mentions_Topic,environmental degradation,0.9,2020,Greens/EFA
Klaus Buchner,Mentions_Topic,technology impact,0.7,2020,Greens/EFA
Klaus Buchner,Member_Of,Greens/EFA,1.0,2020,Greens/EFA
Bogdan Rzońca,Mentions_Topic,financial regulations,0.9,2020,ECR
Bogdan Rzońca,Mentions_Topic,lobbying,0.7,2020,ECR
Bogdan Rzońca,Mentions_Entity,Bogdan Rzońca,1.0,2020,ECR
Bogdan Rzońca,Member_Of,ECR,1.0,2020,ECR
Harald Vilimsky,Mentions_Topic,Brexit,0.9,2020,ID
Harald Vilimsky,Mentions_Topic,EU-UK relations,0.8,2020,ID
Harald Vilimsky,Mentions_Topic,European integration,0.7,2020,ID
Harald Vilimsky,Mentions_Topic,Corona crisis,0.6,2020,ID
Harald Vilimsky,Mentions_Topic,Animal welfare,0.5,2020,ID
Harald Vilimsky,Mentions_Entity,Donald Tusk,1.0,2020,ID
Harald Vilimsky,Mentions_Entity,Guy Verhofstadt,1.0,2020,ID
Harald Vilimsky,Member_Of,ID,1.0,2020,ID
Mario Furore,Mentions_Topic,EU administration,0.9,2020,NI
Mario Furore,Mentions_Topic,BCE,0.7,2020,NI
Mario Furore,Mentions_Topic,transparency,0.6,2020,NI
Mario Furore,Mentions_Topic,public access to documents,0.8,2020,NI
Mario Furore,Mentions_Topic,regulation,0.5,2020,NI
Mario Furore,Mentions_Entity,Mediatrice O'Reilly,1.0,2020,NI
Mario Furore,Mentions_Entity,Jahr,1.0,2020,NI
Mario Furore,Mentions_Entity,BCE,1.0,2020,NI
Mario Furore,Member_Of,NI,1.0,2020,NI
Silvia Sardone,Mentions_Topic,immigration,0.9,2020,ID
Silvia Sardone,Mentions_Topic,refugees,0.8,2020,ID
Silvia Sardone,Mentions_Topic,European policies,0.7,2020,ID
Silvia Sardone,Mentions_Entity,Carola Rackete,1.0,2020,ID
Silvia Sardone,Mentions_Entity,Matteo Salvini,1.0,2020,ID
Silvia Sardone,Member_Of,ID,1.0,2020,ID
Emil Radev,Mentions_Topic,money laundering and terrorist financing,0.9,2020,PPE
Emil Radev,Mentions_Topic,European Union security,0.7,2020,PPE
Emil Radev,Mentions_Entity,European Commission,1.0,2020,PPE
Emil Radev,Mentions_Entity,Europol,1.0,2020,PPE
Emil Radev,Mentions_Entity,European Public Prosecutor's Office,1.0,2020,PPE
Emil Radev,Mentions_Entity,European Union,1.0,2020,PPE
Emil Radev,Member_Of,PPE,1.0,2020,PPE
Izaskun Bilbao Barandica,Mentions_Topic,sustainability,0.9,2020,ALDE
Izaskun Bilbao Barandica,Mentions_Topic,circular economy,0.8,2020,ALDE
Izaskun Bilbao Barandica,Mentions_Topic,product design,0.7,2020,ALDE
Izaskun Bilbao Barandica,Mentions_Topic,transparency,0.6,2020,ALDE
Izaskun Bilbao Barandica,Mentions_Topic,consumption,0.5,2020,ALDE
Izaskun Bilbao Barandica,Member_Of,ALDE,1.0,2020,ALDE
Dragoș Pîslaru,Mentions_Topic,solidarity,0.9,2020,ALDE
Dragoș Pîslaru,Mentions_Topic,poverty and social exclusion,0.8,2020,ALDE
Dragoș Pîslaru,Mentions_Topic,European Union,0.7,2020,ALDE
Dragoș Pîslaru,Mentions_Topic,crisis,0.6,2020,ALDE
Dragoș Pîslaru,Mentions_Topic,social exclusion,0.5,2020,ALDE
Dragoș Pîslaru,Mentions_Entity,European Union,1.0,2020,ALDE
Dragoș Pîslaru,Mentions_Entity,European Commissioner,1.0,2020,ALDE
Dragoș Pîslaru,Member_Of,ALDE,1.0,2020,ALDE
Vladimír Bilčík,Mentions_Topic,Polish justice,0.9,2020,PPE
Vladimír Bilčík,Mentions_Topic,media freedom,0.8,2020,PPE
Vladimír Bilčík,Mentions_Topic,democracy,0.7,2020,PPE
Vladimír Bilčík,Mentions_Topic,rule of law,0.6,2020,PPE
Vladimír Bilčík,Mentions_Topic,Europe,0.5,2020,PPE
Vladimír Bilčík,Mentions_Entity,Poland,1.0,2020,PPE
Vladimír Bilčík,Mentions_Entity,Europe,1.0,2020,PPE
Vladimír Bilčík,Mentions_Entity,Polish citizens,1.0,2020,PPE
Vladimír Bilčík,Member_Of,PPE,1.0,2020,PPE
Dacian Cioloş,Mentions_Topic,economic crisis,0.9,2020,ALDE
Dacian Cioloş,Mentions_Topic,recovery and transformation,0.7,2020,ALDE
Dacian Cioloş,Mentions_Topic,digitalization,0.6,2020,ALDE
Dacian Cioloş,Mentions_Topic,environmental attention,0.5,2020,ALDE
Dacian Cioloş,Mentions_Topic,healthcare,0.4,2020,ALDE
Dacian Cioloş,Mentions_Entity,Robert Schuman,1.0,2020,ALDE
Dacian Cioloş,Member_Of,ALDE,1.0,2020,ALDE
Idoia Villanueva Ruiz,Mentions_Topic,migration policy,0.9,2020,GUE/NGL
Idoia Villanueva Ruiz,Mentions_Topic,human rights,0.7,2020,GUE/NGL
Idoia Villanueva Ruiz,Mentions_Entity,Moria,1.0,2020,GUE/NGL
Idoia Villanueva Ruiz,Mentions_Entity,European Union,1.0,2020,GUE/NGL
Idoia Villanueva Ruiz,Member_Of,GUE/NGL,1.0,2020,GUE/NGL
Evelyn Regner,Mentions_Topic,European Capital Market Union,0.9,2020,S&D
Evelyn Regner,Mentions_Topic,Financial Regulation,0.7,2020,S&D
Evelyn Regner,Mentions_Entity,ESMA,1.0,2020,S&D
Evelyn Regner,Member_Of,S&D,1.0,2020,S&D
Enikő Győri,Mentions_Topic,economy,0.9,2020,NI
Enikő Győri,Mentions_Topic,financial crisis,0.7,2020,NI
Enikő Győri,Mentions_Topic,small and medium-sized enterprises,0.6,2020,NI
Enikő Győri,Mentions_Topic,capital markets,0.5,2020,NI
Enikő Győri,Mentions_Topic,digitalization,0.4,2020,NI
Enikő Győri,Mentions_Entity,European Union,1.0,2020,NI
Enikő Győri,Mentions_Entity,United States,1.0,2020,NI
Enikő Győri,Mentions_Entity,China,1.0,2020,NI
Enikő Győri,Mentions_Entity,United Kingdom,1.0,2020,NI
Enikő Győri,Member_Of,PPE,1.0,2020,NI
Domènec Ruiz Devesa,Mentions_Topic,reconstruction,0.8,2020,S&D
Domènec Ruiz Devesa,Mentions_Topic,political reform,0.9,2020,S&D
Domènec Ruiz Devesa,Mentions_Topic,confessional system,0.7,2020,S&D
Domènec Ruiz Devesa,Mentions_Entity,Hezbollah,1.0,2020,S&D
Domènec Ruiz Devesa,Mentions_Entity,Lebanon,1.0,2020,S&D
Domènec Ruiz Devesa,Mentions_Entity,Iran,1.0,2020,S&D
Domènec Ruiz Devesa,Mentions_Entity,Syria,1.0,2020,S&D
Domènec Ruiz Devesa,Mentions_Entity,Beirut,1.0,2020,S&D
Domènec Ruiz Devesa,Mentions_Entity,Siria,1.0,2020,S&D
Domènec Ruiz Devesa,Member_Of,S&D,1.0,2020,S&D
Markus Ferber,Mentions_Topic,Green Deal,0.9,2020,PPE
Markus Ferber,Mentions_Topic,Investments,0.8,2020,PPE
Markus Ferber,Mentions_Topic,Financing,0.7,2020,PPE
Markus Ferber,Mentions_Entity,Dombrovskis,1.0,2020,PPE
Markus Ferber,Mentions_Entity,Juncker-Fonds,1.0,2020,PPE
Markus Ferber,Member_Of,PPE,1.0,2020,PPE
Mick Wallace,Mentions_Topic,coronavirus,0.9,2020,GUE/NGL
Mick Wallace,Mentions_Topic,healthcare,0.7,2020,GUE/NGL
Mick Wallace,Mentions_Topic,China,0.6,2020,GUE/NGL
Mick Wallace,Mentions_Topic,global cooperation,0.5,2020,GUE/NGL
Mick Wallace,Mentions_Topic,neoliberalism,0.4,2020,GUE/NGL
Mick Wallace,Mentions_Entity,Mick Wallace,1.0,2020,GUE/NGL
Mick Wallace,Mentions_Entity,China,1.0,2020,GUE/NGL
Mick Wallace,Mentions_Entity,US,1.0,2020,GUE/NGL
Mick Wallace,Mentions_Entity,WHO,1.0,2020,GUE/NGL
Mick Wallace,Member_Of,GUE/NGL,1.0,2020,GUE/NGL
Johan Danielsson,Mentions_Topic,Brexit negotiations,0.9,2020,S&D
Johan Danielsson,Mentions_Topic,trade agreements,0.7,2020,S&D
Johan Danielsson,Mentions_Entity,United Kingdom,1.0,2020,S&D
Johan Danielsson,Mentions_Entity,European Union,1.0,2020,S&D
Johan Danielsson,Member_Of,S&D,1.0,2020,S&D
Ádám Kósa,Mentions_Topic,education,0.9,2020,NI
Ádám Kósa,Mentions_Topic,integration,0.8,2020,NI
Ádám Kósa,Mentions_Topic,language learning,0.8,2020,NI
Ádám Kósa,Mentions_Topic,employment,0.6,2020,NI
Ádám Kósa,Mentions_Topic,youth,0.6,2020,NI
Ádám Kósa,Mentions_Entity,Ádám Kósa,1.0,2020,NI
Ádám Kósa,Mentions_Entity,Hungary,1.0,2020,NI
Ádám Kósa,Member_Of,PPE,1.0,2020,NI
Nicolas Bay,Mentions_Topic,EU enlargement,0.9,2020,ID
Nicolas Bay,Mentions_Topic,EU budget,0.7,2020,ID
Nicolas Bay,Mentions_Topic,European integration,0.6,2020,ID
Nicolas Bay,Mentions_Entity,Emmanuel Macron,1.0,2020,ID
Nicolas Bay,Mentions_Entity,Jean-Claude Juncker,1.0,2020,ID
Nicolas Bay,Mentions_Entity,Zagreb,1.0,2020,ID
Nicolas Bay,Mentions_Entity,Macédoine du Nord,1.0,2020,ID
Nicolas Bay,Mentions_Entity,Albanie,1.0,2020,ID
Nicolas Bay,Mentions_Entity,Bosnie,1.0,2020,ID
Nicolas Bay,Mentions_Entity,Kosovo,1.0,2020,ID
Nicolas Bay,Mentions_Entity,Union européenne,1.0,2020,ID
Nicolas Bay,Member_Of,ID,1.0,2020,ID
Vlad-Marius Botoş,Mentions_Topic,health,0.9,2020,ALDE
Vlad-Marius Botoş,Mentions_Topic,food labeling,0.8,2020,ALDE
Vlad-Marius Botoş,Mentions_Topic,consumer choice,0.7,2020,ALDE
Vlad-Marius Botoş,Mentions_Topic,European policies,0.6,2020,ALDE
Vlad-Marius Botoş,Mentions_Topic,cancer prevention,0.5,2020,ALDE
Vlad-Marius Botoş,Mentions_Entity,Vlad-Marius Botoş,1.0,2020,ALDE
Vlad-Marius Botoş,Member_Of,ALDE,1.0,2020,ALDE
Eider Gardiazabal Rubial,Mentions_Topic,climate change,0.9,2020,S&D
Eider Gardiazabal Rubial,Mentions_Topic,economic investment,0.7,2020,S&D
Eider Gardiazabal Rubial,Mentions_Entity,Eider Gardiazabal Rubial,1.0,2020,S&D
Eider Gardiazabal Rubial,Member_Of,S&D,1.0,2020,S&D
Anna-Michelle Asimakopoulou,Mentions_Topic,economic impact of the pandemic,0.9,2020,PPE
Anna-Michelle Asimakopoulou,Mentions_Topic,European budget,0.8,2020,PPE
Anna-Michelle Asimakopoulou,Mentions_Topic,bureaucracy reduction,0.7,2020,PPE
Anna-Michelle Asimakopoulou,Mentions_Topic,access to EU funds,0.6,2020,PPE
Anna-Michelle Asimakopoulou,Mentions_Topic,European Union policy,0.5,2020,PPE
Anna-Michelle Asimakopoulou,Mentions_Entity,European Union,1.0,2020,PPE
Anna-Michelle Asimakopoulou,Mentions_Entity,Anna-Michelle Asimakopoulou,1.0,2020,PPE
Anna-Michelle Asimakopoulou,Member_Of,PPE,1.0,2020,PPE
Sven Mikser,Mentions_Topic,peace process,0.9,2020,S&D
Sven Mikser,Mentions_Topic,settlement activity,0.7,2020,S&D
Sven Mikser,Mentions_Topic,two-state solution,0.8,2020,S&D
Sven Mikser,Mentions_Topic,international law,0.6,2020,S&D
Sven Mikser,Mentions_Topic,US role in Middle East peace,0.5,2020,S&D
Sven Mikser,Mentions_Entity,Israel,1.0,2020,S&D
Sven Mikser,Mentions_Entity,US,1.0,2020,S&D
Sven Mikser,Mentions_Entity,Palestine,1.0,2020,S&D
Sven Mikser,Mentions_Entity,Sven Mikser,1.0,2020,S&D
Sven Mikser,Member_Of,S&D,1.0,2020,S&D
Karin Karlsbro,Mentions_Topic,Belarusian protests,0.9,2020,ALDE
Karin Karlsbro,Mentions_Topic,sanctions,0.8,2020,ALDE
Karin Karlsbro,Mentions_Topic,democracy,0.7,2020,ALDE
Karin Karlsbro,Mentions_Topic,Lukashenko,0.6,2020,ALDE
Karin Karlsbro,Mentions_Topic,European Union,0.5,2020,ALDE
Karin Karlsbro,Mentions_Entity,Lukashenko,1.0,2020,ALDE
Karin Karlsbro,Mentions_Entity,Belarus,1.0,2020,ALDE
Karin Karlsbro,Mentions_Entity,Putin,1.0,2020,ALDE
Karin Karlsbro,Member_Of,ALDE,1.0,2020,ALDE
Chris MacManus,Mentions_Topic,Brexit,0.9,2020,GUE/NGL
Chris MacManus,Mentions_Topic,Good Friday Agreement,0.8,2020,GUE/NGL
Chris MacManus,Mentions_Topic,British legislation,0.7,2020,GUE/NGL
Chris MacManus,Mentions_Entity,Sinn Féin,1.0,2020,GUE/NGL
Chris MacManus,Mentions_Entity,Ireland,1.0,2020,GUE/NGL
Chris MacManus,Mentions_Entity,Britain,1.0,2020,GUE/NGL
Chris MacManus,Mentions_Entity,British establishment,1.0,2020,GUE/NGL
Chris MacManus,Member_Of,GUE/NGL,1.0,2020,GUE/NGL
Tamás Deutsch,Mentions_Topic,economy,0.9,2020,NI
Tamás Deutsch,Mentions_Topic,European Union,0.7,2020,NI
Tamás Deutsch,Mentions_Entity,Tamás Deutsch,1.0,2020,NI
Tamás Deutsch,Member_Of,PPE,1.0,2020,NI
Agnes Jongerius,Mentions_Topic,coronavirus economic effects,0.9,2020,S&D
Agnes Jongerius,Mentions_Topic,foreign investment regulations,0.8,2020,S&D
Agnes Jongerius,Mentions_Topic,job protection,0.7,2020,S&D
Agnes Jongerius,Mentions_Entity,Apollo Vredestein,1.0,2020,S&D
Agnes Jongerius,Mentions_Entity,Tata Steel,1.0,2020,S&D
Agnes Jongerius,Member_Of,S&D,1.0,2020,S&D
Sunčana Glavak,Mentions_Topic,journalist safety,0.9,2020,PPE
Sunčana Glavak,Mentions_Topic,media freedom,0.8,2020,PPE
Sunčana Glavak,Mentions_Topic,democracy,0.7,2020,PPE
Sunčana Glavak,Mentions_Entity,UNESCO,1.0,2020,PPE
Sunčana Glavak,Mentions_Entity,Ujedinjeni narodi,1.0,2020,PPE
Sunčana Glavak,Member_Of,PPE,1.0,2020,PPE
Cindy Franssen,Mentions_Topic,genderloonkloof,0.9,2020,PPE
Cindy Franssen,Mentions_Topic,arbeidsmarkt,0.7,2020,PPE
Cindy Franssen,Mentions_Topic,gelijke deelname,0.6,2020,PPE
Cindy Franssen,Mentions_Topic,loonkloof,0.5,2020,PPE
Cindy Franssen,Mentions_Topic,arbeid,0.4,2020,PPE
Cindy Franssen,Mentions_Entity,Mevrouw de commissaris,1.0,2020,PPE
Cindy Franssen,Mentions_Entity,Marianne Thyssen,1.0,2020,PPE
Cindy Franssen,Member_Of,PPE,1.0,2020,PPE
Evelyne Gebhardt,Mentions_Topic,EU regulation,0.9,2020,S&D
Evelyne Gebhardt,Mentions_Topic,consumer protection,0.7,2020,S&D
Evelyne Gebhardt,Mentions_Entity,Von der Leyen,1.0,2020,S&D
Evelyne Gebhardt,Mentions_Entity,EU Commission,1.0,2020,S&D
Evelyne Gebhardt,Member_Of,S&D,1.0,2020,S&D
Caterina Chinnici,Mentions_Topic,child labor,0.9,2020,S&D
Caterina Chinnici,Mentions_Topic,human rights,0.8,2020,S&D
Caterina Chinnici,Mentions_Topic,Madagascar,0.6,2020,S&D
Caterina Chinnici,Mentions_Topic,poverty,0.5,2020,S&D
Caterina Chinnici,Mentions_Topic,UN Convention,0.4,2020,S&D
Caterina Chinnici,Mentions_Entity,Madagascar,1.0,2020,S&D
Caterina Chinnici,Mentions_Entity,UN,1.0,2020,S&D
Caterina Chinnici,Member_Of,S&D,1.0,2020,S&D
Sophia in 't Veld,Mentions_Topic,EU response to the crisis,0.9,2020,ALDE
Sophia in 't Veld,Mentions_Topic,European unity,0.8,2020,ALDE
Sophia in 't Veld,Mentions_Topic,global politics,0.7,2020,ALDE
Sophia in 't Veld,Mentions_Topic,economic assistance,0.6,2020,ALDE
Sophia in 't Veld,Mentions_Topic,health and safety,0.5,2020,ALDE
Sophia in 't Veld,Mentions_Entity,European Union,1.0,2020,ALDE
Sophia in 't Veld,Mentions_Entity,China,1.0,2020,ALDE
Sophia in 't Veld,Mentions_Entity,Russia,1.0,2020,ALDE
Sophia in 't Veld,Mentions_Entity,United States,1.0,2020,ALDE
Sophia in 't Veld,Mentions_Entity,European Central Bank,1.0,2020,ALDE
Sophia in 't Veld,Member_Of,ALDE,1.0,2020,ALDE
Kati Piri,Mentions_Topic,Libya crisis,0.9,2020,S&D
Kati Piri,Mentions_Topic,EU role in the neighbourhood,0.8,2020,S&D
Kati Piri,Mentions_Topic,EU's commitment to multilateralism,0.7,2020,S&D
Kati Piri,Mentions_Topic,EU's role in the Western Balkans,0.6,2020,S&D
Kati Piri,Mentions_Topic,disinformation and election interference,0.5,2020,S&D
Kati Piri,Mentions_Entity,Kati Piri,1.0,2020,S&D
Kati Piri,Mentions_Entity,Prime Minister,1.0,2020,S&D
Kati Piri,Mentions_Entity,Croatian Presidency,1.0,2020,S&D
Kati Piri,Mentions_Entity,US,1.0,2020,S&D
Kati Piri,Mentions_Entity,Iran,1.0,2020,S&D
Kati Piri,Mentions_Entity,Libya,1.0,2020,S&D
Kati Piri,Mentions_Entity,North Macedonia,1.0,2020,S&D
Kati Piri,Mentions_Entity,Albania,1.0,2020,S&D
Kati Piri,Mentions_Entity,Poland,1.0,2020,S&D
Kati Piri,Mentions_Entity,Hungary,1.0,2020,S&D
Kati Piri,Mentions_Entity,Zagreb,1.0,2020,S&D
Kati Piri,Mentions_Entity,Western Balkans,1.0,2020,S&D
Kati Piri,Member_Of,S&D,1.0,2020,S&D
Isabel Santos,Mentions_Topic,human rights violations,0.9,2020,S&D
Isabel Santos,Mentions_Topic,China,0.8,2020,S&D
Isabel Santos,Mentions_Topic,Uyghurs,0.7,2020,S&D
Isabel Santos,Mentions_Topic,sanctions,0.6,2020,S&D
Isabel Santos,Mentions_Topic,Tibet,0.5,2020,S&D
Isabel Santos,Mentions_Entity,Islam Toti,1.0,2020,S&D
Isabel Santos,Mentions_Entity,Tsz Lun Kok,1.0,2020,S&D
Isabel Santos,Mentions_Entity,Xinjiang,1.0,2020,S&D
Isabel Santos,Mentions_Entity,China,1.0,2020,S&D
Isabel Santos,Mentions_Entity,Hong Kong,1.0,2020,S&D
Isabel Santos,Member_Of,S&D,1.0,2020,S&D
Hermann Tertsch,Mentions_Topic,European integration,0.9,2020,ECR
Hermann Tertsch,Mentions_Topic,national sovereignty,0.7,2020,ECR
Hermann Tertsch,Mentions_Topic,ideology,0.6,2020,ECR
Hermann Tertsch,Mentions_Entity,Plenković,1.0,2020,ECR
Hermann Tertsch,Mentions_Entity,Croacia,1.0,2020,ECR
Hermann Tertsch,Mentions_Entity,Osijek,1.0,2020,ECR
Hermann Tertsch,Mentions_Entity,Karlovac,1.0,2020,ECR
Hermann Tertsch,Mentions_Entity,Tallin,1.0,2020,ECR
Hermann Tertsch,Mentions_Entity,Cádiz,1.0,2020,ECR
Hermann Tertsch,Mentions_Entity,Zagreb,1.0,2020,ECR
Hermann Tertsch,Mentions_Entity,Ámsterdam,1.0,2020,ECR
Hermann Tertsch,Member_Of,ECR,1.0,2020,ECR
Emmanuel Maurel,Mentions_Topic,digital rights,0.9,2020,GUE/NGL
Emmanuel Maurel,Mentions_Topic,surveillance,0.8,2020,GUE/NGL
Emmanuel Maurel,Mentions_Topic,consumer protection,0.7,2020,GUE/NGL
Emmanuel Maurel,Mentions_Entity,Emmanuel Maurel,1.0,2020,GUE/NGL
Emmanuel Maurel,Mentions_Entity,GUE/NGL,1.0,2020,GUE/NGL
Emmanuel Maurel,Mentions_Entity,United States,1.0,2020,GUE/NGL
Emmanuel Maurel,Mentions_Entity,China,1.0,2020,GUE/NGL
Emmanuel Maurel,Member_Of,GUE/NGL,1.0,2020,GUE/NGL
Maria Grapini,Mentions_Topic,crisis management,0.9,2020,S&D
Maria Grapini,Mentions_Topic,EU budget,0.7,2020,S&D
Maria Grapini,Member_Of,S&D,1.0,2020,S&D
Sara Cerdas,Mentions_Topic,COVID-19 pandemic,0.9,2020,S&D
Sara Cerdas,Mentions_Topic,climate change,0.8,2020,S&D
Sara Cerdas,Mentions_Entity,European Union,1.0,2020,S&D
Sara Cerdas,Mentions_Entity,COVID-19,1.0,2020,S&D
Sara Cerdas,Member_Of,S&D,1.0,2020,S&D
Angelo Ciocca,Mentions_Topic,Agriculture,0.9,2020,ID
