speaker_name,topics,entities,sentiment,summary,source_id,date,year,original_text,party,country,political_orientation
Bernhard Zimniok,"[{'topic': 'justice', 'confidence': 0.8}, {'topic': 'democracy', 'confidence': 0.7}, {'topic': 'racism', 'confidence': 0.6}, {'topic': 'terrorism', 'confidence': 0.5}, {'topic': 'cultural identity', 'confidence': 0.4}]","[{'name': 'George Floyds', 'entity_type': 'person'}]",negative,"The speaker criticizes the rewriting of history and the portrayal of the Western society as a collective perpetrator of historical injustices, while advocating for the preservation of their culture and the protection of democracy.",10,2020-06-17,2020,"schriftlich. – George Floyds Tod war ein vermeidbares Unrecht. Er hätte, wie in einem Rechtsstaat üblich, eine faire Gerichtsverhandlung verdient gehabt. Sein Tod rechtfertigt jedoch keine Gewaltausbrüche oder das Niederreißen von Statuen. Dass nun Geschichte umgeschrieben werden soll oder der westlichen Gesellschaft eine Kollektivschuld, beispielsweise für historische Begebenheiten wie die Kolonialzeit, untergejubelt werden soll, ist nicht akzeptabel. Gleiches gilt für die Tatsache, dass eine l",ID,,right
Maxette Pirbakas,"[{'topic': 'European Union budget', 'confidence': 0.9}, {'topic': 'agriculture', 'confidence': 0.8}]","[{'name': 'Parlement européen', 'entity_type': 'organization'}, {'name': 'POSEI', 'entity_type': 'program'}, {'name': 'Guadeloupe', 'entity_type': 'location'}, {'name': 'Martinique', 'entity_type': 'location'}, {'name': 'Réunion', 'entity_type': 'location'}, {'name': 'Guyane', 'entity_type': 'location'}, {'name': 'Mayotte', 'entity_type': 'location'}]",positive,"The speaker, Maxette Pirbakas, welcomes the agreement to maintain the POSEI program and emphasizes the importance of continued funding to support the agriculture sector in the French overseas departments.",11,2020-12-15,2020," – Monsieur le Président, je tenais ce jour à m’exprimer sur le fonds de transition concernant l’année 2021. Je me félicite de voir que notre institution – le Parlement européen – et l’ensemble des institutions européennes sont arrivées à un accord de compromis pour maintenir le POSEI, le programme d’options spécifiques à l’éloignement et l’insularité.  Je me félicite également de cette victoire pour l’agriculture ultramarine, pour les milliers d’emplois directs et indirects qui en dépendent, ai",ID,,right
Jonás Fernández,"[{'topic': 'economic crisis', 'confidence': 0.9}, {'topic': 'health crisis', 'confidence': 0.8}, {'topic': 'fiscal policy', 'confidence': 0.7}, {'topic': 'monetary policy', 'confidence': 0.6}, {'topic': 'European Union', 'confidence': 0.5}]","[{'name': 'Jonás Fernández', 'entity_type': 'person'}]",positive,"The speaker emphasizes the need for a supportive economic policy and fiscal expansion to address the health and economic crisis, and highlights the importance of investing in social rights for future generations.",12,2020-10-21,2020," – Señora presidenta, creo que es justo reconocer que estamos, en primer lugar, ante una crisis sanitaria con una profunda recesión ante la cual la política económica apenas puede poner algodones. Y hasta que no se disponga de un tratamiento sanitario cierto, hasta que no logremos despejar los miedos y las incertidumbres que desde el punto exclusivamente sanitario golpea nuestras sociedades, será difícil pensar en una política económica que no sea respaldar el gasto, respaldar la inversión desde",S&D,,center
Michaela Šojdrová,"[{'topic': 'Taiwan', 'confidence': 0.9}, {'topic': 'democracy', 'confidence': 0.8}, {'topic': 'China', 'confidence': 0.7}, {'topic': 'elections', 'confidence': 0.6}, {'topic': 'security', 'confidence': 0.5}]","[{'name': 'Cchaj Jing-wen', 'entity_type': 'person'}, {'name': 'Tchaj-wan', 'entity_type': 'location'}, {'name': 'Čína', 'entity_type': 'location'}]",positive,"The speaker congratulates the newly elected President of Taiwan, Cchaj Jing-wen, and highlights the importance of Taiwan's democratic elections in the face of Chinese pressure.",13,2020-01-13,2020," – Pane předsedající, ráda bych v této chvíli popřála znovuzvolené prezidentce Tchaj-wanu, Cchaj Jing-wen, která jasně zvítězila minulou sobotu ve volbách. Před čtyřmi lety jsem měla možnost se s ní setkat při její prezidentské inauguraci a pochopila jsem, že je to silná žena, která tuto zemi skutečně vedla k prosperitě. Z pohledu vztahu k Číně postupovala uvážlivě v zájmu svébytnosti tchajwanského lidu, aby zbytečně Čínu neprovokovala.  Volby na Tchaj-wanu jsou z určitého pohledu svátkem demokr",PPE,,right
Klaus Buchner,"[{'topic': 'environmental degradation', 'confidence': 0.9}, {'topic': 'technology impact', 'confidence': 0.7}]",[],negative,"The speaker warns about the devastating effects of increasing radiation on the environment, leading to the extinction of various species.",14,2020-01-15,2020," – Herr Präsident! Viele Arten von Tieren, Pflanzen und anderen Organismen werden durch den massiven Einsatz von Chemikalien ausgelöscht, aber auch, weil wir ihnen immer mehr von ihrem Lebensraum nehmen. Eine weitere Ursache für das Artensterben bleibt allerdings oft unbeachtet. Das ist die Funkstrahlung, deren Intensität ständig zunimmt. Langjährige Forschung hat gezeigt, dass die Strahlung zum Beispiel bei Bienen und bei anderen Tieren die Orientierung stören kann, sodass sie zwar von zu Hause",Greens/EFA,,left
Bogdan Rzońca,"[{'topic': 'financial regulations', 'confidence': 0.9}, {'topic': 'lobbying', 'confidence': 0.7}]","[{'name': 'Bogdan Rzońca', 'entity_type': 'person'}]",negative,The speaker expresses concerns about potential financial bubbles and corruption in the implementation of the Green Deal funds.,15,2020-01-16,2020," – Pani Przewodnicząca! Na kanwie tej bardzo interesującej dyskusji chciałbym poruszyć temat, nie oczekując od razu na odpowiedź, o którym mówi cała Europa. Wszyscy wiedzą, że budujemy Nowy Zielony Ład, że będą na to przeznaczane ogromne środki finansowe. Widzę, bo uczestniczę w procesie legislacyjnym, duże zainteresowanie tym procesem różnych grup lobbingowych i rynków finansowych. Chciałbym więc poprosić może o to, żebyśmy na tym etapie wyraźnie oddzielili osoby, które pracują przy tym procesi",ECR,,right
Harald Vilimsky,"[{'topic': 'Brexit', 'confidence': 0.9}, {'topic': 'EU-UK relations', 'confidence': 0.8}, {'topic': 'European integration', 'confidence': 0.7}, {'topic': 'Corona crisis', 'confidence': 0.6}, {'topic': 'Animal welfare', 'confidence': 0.5}]","[{'name': 'Donald Tusk', 'entity_type': 'person'}, {'name': 'Guy Verhofstadt', 'entity_type': 'person'}]",negative,"The speaker criticizes the EU's handling of the Brexit and its impact on the UK's ability to make decisions, citing examples of the UK's response to the Corona crisis and animal welfare issues.",16,2020-12-18,2020," – Frau Präsidentin, meine sehr geehrten Damen und Herren! Um die Debatte heute über Deal oder No Deal zu verstehen, müssen wir uns auch zurückblenden in das Jahr 2016, wo eine Mehrheit der britischen Bevölkerung gesagt hat, dass sie nicht mehr dieser Europäischen Union angehören will. Und es wäre eigentlich für die europäische Völkerfamilie die richtige Aufgabe gewesen, dieser Entscheidung mit Respekt entgegenzutreten und der Mehrheit der Briten auch entsprechend mit Respekt entgegenzutreten. D",ID,,right
Mario Furore,"[{'topic': 'EU administration', 'confidence': 0.9}, {'topic': 'BCE', 'confidence': 0.7}, {'topic': 'transparency', 'confidence': 0.6}, {'topic': 'public access to documents', 'confidence': 0.8}, {'topic': 'regulation', 'confidence': 0.5}]","[{'name': ""Mediatrice O'Reilly"", 'entity_type': 'person'}, {'name': 'Jahr', 'entity_type': 'person'}, {'name': 'BCE', 'entity_type': 'organization'}]",mixed,"The speaker, Mario Furore, congratulates the Mediatrice O'Reilly on her re-election and praises some aspects of the report, but criticizes the paragraph on the BCE and calls for a revision of the regulation (CE) n. 1049/2001.",17,2020-01-15,2020," – Signor Presidente, onorevoli colleghi, mi congratulo innanzitutto con la Mediatrice O'Reilly per la sua rielezione e la proficua attività svolta a salvaguardia della buona amministrazione. Ringrazio inoltre il collega Jahr per il lavoro compiuto sulla relazione, il cui contenuto trovo nel complesso condivisibile, fatta eccezione per il paragrafo sulla BCE che, a mio avviso, si pone in netta antitesi con la tutela dei principi di pubblicità e trasparenza inerenti ai processi decisionali a live",NI,,unknown
Silvia Sardone,"[{'topic': 'immigration', 'confidence': 0.9}, {'topic': 'refugees', 'confidence': 0.8}, {'topic': 'European policies', 'confidence': 0.7}]","[{'name': 'Carola Rackete', 'entity_type': 'person'}, {'name': 'Matteo Salvini', 'entity_type': 'person'}]",negative,"The speaker criticizes European policies on immigration, accusing them of being hypocritical and cowardly, and calls for stricter measures to block illegal immigration and support Mediterranean countries.",18,2020-02-12,2020," – Signora Presidente, onorevoli colleghi, sugli immigrati, i rifugiati e le loro condizioni nei centri di accoglienza l'Europa è colpevole, ipocrita e vigliacca. Colpevole perché grazie alle politiche di immigrazione senza freni e dell'accoglienza a tutti i costi, di fatto sono arrivati da noi disperati, costretti a sopravvivere nei campi, bivaccare nelle periferie e spesso persino a delinquere. È ipocrita, perché vi stracciate le vesti sulle condizioni degli immigrati, ma poi lasciate soli i p",ID,,right
Emil Radev,"[{'topic': 'money laundering and terrorist financing', 'confidence': 0.9}, {'topic': 'European Union security', 'confidence': 0.7}]","[{'name': 'European Commission', 'entity_type': 'organization'}, {'name': 'Europol', 'entity_type': 'organization'}, {'name': ""European Public Prosecutor's Office"", 'entity_type': 'organization'}, {'name': 'European Union', 'entity_type': 'organization'}]",positive,"The speaker calls for a strengthened legislative framework to prevent money laundering and terrorist financing in the European Union, emphasizing the importance of a unified approach and effective cooperation among EU institutions.",19,2020-07-08,2020,"в писмена форма. – Благодаря на Европейската комисия за представения от нея план за действие относно всеобхватна политика на Съюза за предотвратяване на изпирането на пари и финансирането на тероризма. Ние се нуждаем от такава всеобхватна политика – от засилена законодателна рамка в областта на изпирането на пари и финансирането на тероризма, която да пази финансовата система на Европейския съюз. Много е важно тази рамка да се прилага по еднакъв начин във всички държави членки. Именно затова тря",PPE,,right
Izaskun Bilbao Barandica,"[{'topic': 'sustainability', 'confidence': 0.9}, {'topic': 'circular economy', 'confidence': 0.8}, {'topic': 'product design', 'confidence': 0.7}, {'topic': 'transparency', 'confidence': 0.6}, {'topic': 'consumption', 'confidence': 0.5}]",[],positive,"The speaker proposes a sustainable market with a focus on circular economy principles, encouraging producers and consumers to adopt a more responsible and transparent approach.",20,2020-11-23,2020," – Señor presidente, este informe apuesta por impulsar un mercado único más sostenible para productores y consumidores aplicando de manera pragmática, consensuada, realista, pero a la vez firme y decidida los principios del Pacto Verde. Sentamos así las bases para unas relaciones económicas y comerciales sanas y responsables que son la primera condición para el tránsito hacia una economía circular. Esta propuesta lanza, en consecuencia, un mensaje claro, firme y coherente a la Comisión, al Conse",ALDE,,center
Dragoș Pîslaru,"[{'topic': 'solidarity', 'confidence': 0.9}, {'topic': 'poverty and social exclusion', 'confidence': 0.8}, {'topic': 'European Union', 'confidence': 0.7}, {'topic': 'crisis', 'confidence': 0.6}, {'topic': 'social exclusion', 'confidence': 0.5}]","[{'name': 'European Union', 'entity_type': 'organization'}, {'name': 'European Commissioner', 'entity_type': 'person'}]",positive,"The speaker emphasizes the importance of solidarity in the European Union during the current crisis, highlighting the need to address poverty and social exclusion.",21,2020-04-16,2020," – Mr President, we are right now at a time where we are talking a lot about solidarity, but unfortunately for the principle of solidarity, we need to prove that it is more than just a rhetorical exercise. That is in this period of Easter, about really taking care of one another. We have solidarity in our small communities back home. We need solidarity between different parts of our countries, we need solidarity between the states of the European Union. And this exercise related to solidarity is",ALDE,,center
Vladimír Bilčík,"[{'topic': 'Polish justice', 'confidence': 0.9}, {'topic': 'media freedom', 'confidence': 0.8}, {'topic': 'democracy', 'confidence': 0.7}, {'topic': 'rule of law', 'confidence': 0.6}, {'topic': 'Europe', 'confidence': 0.5}]","[{'name': 'Poland', 'entity_type': 'location'}, {'name': 'Europe', 'entity_type': 'location'}, {'name': 'Polish citizens', 'entity_type': 'other'}]",positive,The speaker emphasizes the importance of protecting Polish justice and media freedom as essential for a fair Europe.,22,2020-09-14,2020," – Mr President, this is a very emotional debate but the core issue is that Polish justice is European justice, and the safety, dignity and freedom of all citizens in Poland – regardless of their gender and sexual orientation – is also about essential respect for the rights of all Europeans. Fight for a fairer Poland is our fight for fair Europe. Freedom of media are inseparable from democracy and rule of law. Independent public broadcasters help democracy thrive. On the other hand, state media ",PPE,,right
Dacian Cioloş,"[{'topic': 'economic crisis', 'confidence': 0.9}, {'topic': 'recovery and transformation', 'confidence': 0.7}, {'topic': 'digitalization', 'confidence': 0.6}, {'topic': 'environmental attention', 'confidence': 0.5}, {'topic': 'healthcare', 'confidence': 0.4}]","[{'name': 'Robert Schuman', 'entity_type': 'person'}]",positive,"The speaker emphasizes the need for a European plan to address the economic crisis, focusing on digitalization, environmental attention, and healthcare, while promoting a united European vision.",23,2020-05-13,2020,"în numele grupului Renew. – Doamnă președintă, domnule președinte Michel, domnule Președinte, dragi colegi, Robert Schuman spunea acum 70 de ani că Europa se construiește etapă cu etapă prin solidaritate în fapt, nu doar în declarații.  Odată cu criza sanitară cauzată de pandemia de COVID-19, intrăm într-o criză economică majoră. Experiența ultimilor 70 de ani ne arată că Europa a avansat mai ales când a fost nevoită să găsească soluții în fața crizelor cărora a trebuit să le facă față. După ace",ALDE,,center
Idoia Villanueva Ruiz,"[{'topic': 'migration policy', 'confidence': 0.9}, {'topic': 'human rights', 'confidence': 0.7}]","[{'name': 'Moria', 'entity_type': 'location'}, {'name': 'European Union', 'entity_type': 'organization'}]",negative,"The speaker criticizes the EU's migration policies, calling for the immediate rehousing of asylum seekers and an end to the militarization of borders.",24,2020-09-17,2020," – Señora presidenta, Moria ya era un infierno antes de arder. El fuego de Moria no es la noticia, su propia existencia lo es: más de 13 000 personas en un campo con capacidad para 4 000. No es un accidente. Es la consecuencia directa de las políticas nefastas, hostiles, de migración y fronteras de la Unión Europea. Seguimos exportando armas a países de conflicto, seguimos expoliando recursos y alimentando guerras de donde huyen millones de personas y, cuando llegan —las que llegan—, las metemos",GUE/NGL,,left
Evelyn Regner,"[{'topic': 'European Capital Market Union', 'confidence': 0.9}, {'topic': 'Financial Regulation', 'confidence': 0.7}]","[{'name': 'ESMA', 'entity_type': 'organization'}]",positive,The speaker emphasizes the importance of harmonious elements in the European Capital Market Union and advocates for stronger regulation and control through ESMA's role and CCCTB.,25,2020-10-07,2020," – Frau Präsidentin! Die europäische Kapitalmarktunion bietet zweifellos viele neue Möglichkeiten, gute Möglichkeiten für Sparer/innen, für Investor/innen. Aber das Ganze kann nur dann funktionieren, wenn alle Elemente harmonisch ineinandergreifen. Ein einziges schlechtes Element wirkt sich schon negativ auf die Menschen aus. Das bedeutet also: Wie soll das Ganze gehen? Es braucht Kontrolle der Finanzwirtschaft am europäischen Kapitalmarkt. Wie? Durch eine Stärkung, durch eine Erweiterung der Ro",S&D,,center
Enikő Győri,"[{'topic': 'economy', 'confidence': 0.9}, {'topic': 'financial crisis', 'confidence': 0.7}, {'topic': 'small and medium-sized enterprises', 'confidence': 0.6}, {'topic': 'capital markets', 'confidence': 0.5}, {'topic': 'digitalization', 'confidence': 0.4}]","[{'name': 'European Union', 'entity_type': 'organization'}, {'name': 'United States', 'entity_type': 'location'}, {'name': 'China', 'entity_type': 'location'}, {'name': 'United Kingdom', 'entity_type': 'location'}]",positive,The speaker emphasizes the need for EU-wide access to resources for small and medium-sized enterprises to overcome the economic crisis and highlights the importance of strengthening capital markets and financial awareness.,26,2020-10-07,2020," – Elnök Asszony! Ma minden erőfeszítésünknek arra kell irányulnia, hogy Európa kilábaljon a járvány okozta gazdasági válságból. Sok ezer kis- és középvállalkozás túlélése, több millió munkahely megőrzése a tét. A vállalkozások számára lehetővé kell tenni, hogy EU-szerte forrásokhoz jussanak, s ne csak a saját tagállamukban. Ráadásul egyre nehezebb az európai tőkepiacok versenyképes működése, a sokkal nagyobb és hatékonyabban működő amerikai, vagy a gyorsan növekvő kínai tőkepiachoz képest. A br",PPE,,right
Domènec Ruiz Devesa,"[{'topic': 'reconstruction', 'confidence': 0.8}, {'topic': 'political reform', 'confidence': 0.9}, {'topic': 'confessional system', 'confidence': 0.7}]","[{'name': 'Hezbollah', 'entity_type': 'organization'}, {'name': 'Lebanon', 'entity_type': 'location'}, {'name': 'Iran', 'entity_type': 'location'}, {'name': 'Syria', 'entity_type': 'location'}, {'name': 'Beirut', 'entity_type': 'location'}, {'name': 'Siria', 'entity_type': 'location'}]",positive,The speaker expresses sympathy and support for the Lebanese people after the Beirut explosion and emphasizes the need for political reform to address the country's challenges.,27,2020-09-15,2020," – Señor presidente, en primer lugar, quiero trasladar la simpatía y la solidaridad al pueblo libanés tras la devastación provocada por la explosión del 4 de agosto en el puerto de Beirut con las consecuencias que todos conocemos, particularmente teniendo en cuenta que el Líbano —además de muchas otras dimensiones que se han citado— es el país que en este momento alberga el mayor número de refugiados per cápita del mundo, con alrededor de un millón de ciudadanos sirios.  Apoyo, por supuesto, las",S&D,,center
Markus Ferber,"[{'topic': 'Green Deal', 'confidence': 0.9}, {'topic': 'Investments', 'confidence': 0.8}, {'topic': 'Financing', 'confidence': 0.7}]","[{'name': 'Dombrovskis', 'entity_type': 'person'}, {'name': 'Juncker-Fonds', 'entity_type': 'organization'}]",positive,The speaker emphasizes the importance of private sector investment in achieving the EU's ambitious climate goal and criticizes the focus on public financing in the proposed Green Deal report.,28,2020-11-12,2020,"im Namen der PPE-Fraktion. – Frau Präsidentin, Herr Exekutiv-Vizepräsident Dombrovskis, liebe Kolleginnen, liebe Kollegen! Wir haben uns als Europäische Union ein ehrgeiziges Klimaziel gesetzt, und dieses Ziel wird nur erreichbar sein, wenn wir auch entsprechend Investitionen auslösen. Ich glaube, das ist unbestritten.  Das Geld für Investitionen muss auch irgendwoher kommen. Auch das ist, glaube ich, unbestritten. Und der Bericht, über den wir heute abstimmen, heißt deswegen auch richtigerweise",PPE,,right
Mick Wallace,"[{'topic': 'coronavirus', 'confidence': 0.9}, {'topic': 'healthcare', 'confidence': 0.7}, {'topic': 'China', 'confidence': 0.6}, {'topic': 'global cooperation', 'confidence': 0.5}, {'topic': 'neoliberalism', 'confidence': 0.4}]","[{'name': 'Mick Wallace', 'entity_type': 'person'}, {'name': 'China', 'entity_type': 'location'}, {'name': 'US', 'entity_type': 'location'}, {'name': 'WHO', 'entity_type': 'organization'}]",positive,The speaker defends China's response to the coronavirus outbreak and criticizes the EU's reaction as overly critical and uncooperative.,29,2020-02-12,2020," – Madam President, in 2009 the swine flu broke out in the US. It spread to 100 countries and over 10 000 died from it. This year alone in the US, 19 million people got the flu; 10 000 have died, 180 000 have been hospitalised. I actually find it amusing that the manner in which people have used this to try and undermine the Chinese State is a bit scary. If the Chinese have a problem with coronavirus, do you not think that they need our solidarity and our help and our cooperation? They don’t nee",GUE/NGL,,left
